name,area
I,L
II,L
III,L
IV-CALABARZON,L
IV-MIMAROPA,L
V,L
VI,V
VII,V
VIII,V
IX,M
X,M
XI,M
XII,M
Caraga,M
ARMM,M
CAR,L
NCR,L
NIR,V
Central Office,L
